노선,구간,계,startpoint,endpoint,startpoint_coor,endpoint_coor
경부선,건천~영천JCT,101498,건천,영천JCT,"(35.8500143, 129.1024209)","(35.97329149999999, 128.9385493)"
경부선,경산~동대구JCT,149684,경산,동대구JCT,"(35.8250555, 128.7415441)","(35.879667, 128.628476)"
경부선,경주~건천,101272,경주,건천,"(35.8561719, 129.2247477)","(35.8500143, 129.1024209)"
경부선,구미~김천JCT,143988,구미,김천JCT,"(36.119485, 128.3445734)","(36.1398393, 128.1135947)"
경부선,구서~노포,143024,구서,노포,"(35.247305, 129.091325)","(35.283594, 129.094817)"
경부선,금강~옥천,79326,금강,옥천,"(36, 126.6666667)","(36.30636459999999, 127.5712809)"
경부선,금토JCT~양재,363742,금토JCT,양재,"(0, 0)","(37.4731977, 127.0381702)"
경부선,금호JCT~칠곡물류,209648,금호JCT,칠곡물류,"(0, 0)","(35.9568674, 128.4550672)"
경부선,기흥~수원신갈,423992,기흥,수원신갈,"(37.2801554, 127.114659)","(37.2662959, 127.1039379)"
경부선,김천JCT~동김천,81836,김천JCT,동김천,"(36.1398393, 128.1135947)","(36.1398393, 128.1135947)"
경부선,김천~추풍령,78192,김천,추풍령,"(36.1398393, 128.1135947)","(36.2066667, 128.005)"
경부선,남구미~구미,159880,남구미,구미,"(0, 0)","(36.119485, 128.3445734)"
경부선,남이JCT~청주,161680,남이JCT,청주,"(0, 0)","(36.6424341, 127.4890319)"
경부선,남청주~청주JCT,215024,남청주,청주JCT,"(36.608156, 127.479386)","(36.6424341, 127.4890319)"
경부선,노포JCT~양산JCT,173812,노포JCT,양산JCT,"(0, 0)","(0, 0)"
경부선,노포~노포JCT,133634,노포,노포JCT,"(35.283594, 129.094817)","(0, 0)"
경부선,대전~회덕JCT,175834,대전,회덕JCT,"(36.3504119, 127.3845475)","(0, 0)"
경부선,도동JCT~북대구,264182,도동JCT,북대구,"(0, 0)","(0, 0)"
경부선,동김천~김천,72902,동김천,김천,"(36.1398393, 128.1135947)","(36.1398393, 128.1135947)"
경부선,동대구JCT~도동JCT,219060,동대구JCT,도동JCT,"(35.879667, 128.628476)","(0, 0)"
경부선,동탄JCT~기흥,319198,동탄JCT,기흥,"(0, 0)","(37.2801554, 127.114659)"
경부선,목천~천안JCT,170722,목천,천안JCT,"(36.7849846, 127.2346789)","(36.815129, 127.1138939)"
경부선,북대구~금호JCT,289954,북대구,금호JCT,"(0, 0)","(0, 0)"
