노선,지점번호,구간,방향,계
경부선,101,구서~노포,기점,2649
경부선,101,구서~노포,기점,2920
경부선,101,구서~노포,기점,2252
경부선,101,구서~노포,기점,1750
경부선,101,구서~노포,기점,1568
경부선,101,구서~노포,기점,1592
경부선,101,구서~노포,기점,1890
경부선,101,구서~노포,기점,2136
경부선,101,구서~노포,기점,2422
경부선,101,구서~노포,기점,2349
경부선,101,구서~노포,기점,2680
경부선,101,구서~노포,기점,2270
경부선,101,구서~노포,기점,1735
경부선,101,구서~노포,기점,1362
경부선,101,구서~노포,기점,1167
경부선,101,구서~노포,기점,814
경부선,101,구서~노포,기점,548
경부선,101,구서~노포,기점,310
경부선,101,구서~노포,기점,210
경부선,101,구서~노포,기점,134
경부선,101,구서~노포,기점,128
경부선,101,구서~노포,기점,252
경부선,101,구서~노포,기점,616
경부선,101,구서~노포,기점,1452
경부선,101,구서~노포,기점,35206
경부선,101,구서~노포,종점,3236
경부선,101,구서~노포,종점,2634
경부선,101,구서~노포,종점,2147
경부선,101,구서~노포,종점,2444
경부선,101,구서~노포,종점,2295
경부선,101,구서~노포,종점,1861
경부선,101,구서~노포,종점,1736
경부선,101,구서~노포,종점,1738
경부선,101,구서~노포,종점,1703
경부선,101,구서~노포,종점,2504
경부선,101,구서~노포,종점,2826
경부선,101,구서~노포,종점,2526
경부선,101,구서~노포,종점,1846
경부선,101,구서~노포,종점,1457
경부선,101,구서~노포,종점,886
경부선,101,구서~노포,종점,606
경부선,101,구서~노포,종점,447
경부선,101,구서~노포,종점,257
경부선,101,구서~노포,종점,205
경부선,101,구서~노포,종점,160
경부선,101,구서~노포,종점,164
경부선,101,구서~노포,종점,233
경부선,101,구서~노포,종점,655
경부선,101,구서~노포,종점,1740
경부선,101,구서~노포,종점,36306
경부선,00101-1,노포~노포JCT,기점,2202
경부선,00101-1,노포~노포JCT,기점,2613
경부선,00101-1,노포~노포JCT,기점,2139
경부선,00101-1,노포~노포JCT,기점,1987
경부선,00101-1,노포~노포JCT,기점,1919
경부선,00101-1,노포~노포JCT,기점,1461
경부선,00101-1,노포~노포JCT,기점,1729
경부선,00101-1,노포~노포JCT,기점,2015
경부선,00101-1,노포~노포JCT,기점,2161
경부선,00101-1,노포~노포JCT,기점,2646
경부선,00101-1,노포~노포JCT,기점,2548
경부선,00101-1,노포~노포JCT,기점,2052
경부선,00101-1,노포~노포JCT,기점,1500
경부선,00101-1,노포~노포JCT,기점,1281
경부선,00101-1,노포~노포JCT,기점,1049
경부선,00101-1,노포~노포JCT,기점,809
경부선,00101-1,노포~노포JCT,기점,529
경부선,00101-1,노포~노포JCT,기점,306
경부선,00101-1,노포~노포JCT,기점,195
경부선,00101-1,노포~노포JCT,기점,142
경부선,00101-1,노포~노포JCT,기점,129
경부선,00101-1,노포~노포JCT,기점,231
경부선,00101-1,노포~노포JCT,기점,586
경부선,00101-1,노포~노포JCT,기점,1347
경부선,00101-1,노포~노포JCT,기점,33576
경부선,00101-1,노포~노포JCT,종점,2739
경부선,00101-1,노포~노포JCT,종점,2631
경부선,00101-1,노포~노포JCT,종점,1974
경부선,00101-1,노포~노포JCT,종점,1896
경부선,00101-1,노포~노포JCT,종점,1795
경부선,00101-1,노포~노포JCT,종점,1915
경부선,00101-1,노포~노포JCT,종점,1747
경부선,00101-1,노포~노포JCT,종점,1761
경부선,00101-1,노포~노포JCT,종점,1752
경부선,00101-1,노포~노포JCT,종점,1852
경부선,00101-1,노포~노포JCT,종점,2576
경부선,00101-1,노포~노포JCT,종점,2312
경부선,00101-1,노포~노포JCT,종점,1694
경부선,00101-1,노포~노포JCT,종점,1375
경부선,00101-1,노포~노포JCT,종점,927
경부선,00101-1,노포~노포JCT,종점,600
경부선,00101-1,노포~노포JCT,종점,468
경부선,00101-1,노포~노포JCT,종점,247
경부선,00101-1,노포~노포JCT,종점,212
경부선,00101-1,노포~노포JCT,종점,158
경부선,00101-1,노포~노포JCT,종점,182
경부선,00101-1,노포~노포JCT,종점,230
경부선,00101-1,노포~노포JCT,종점,641
경부선,00101-1,노포~노포JCT,종점,1557
