"가해운전자 차종별 ","사고년도","합계","2016","","","","","","","2017","","","","","","","2018","","","","","","","2019","","","","","","","2020","","","","","",""
"","","","합계","일반국도","지방도","특별광역시도","시군도","고속국도","기타","합계","일반국도","지방도","특별광역시도","시군도","고속국도","기타","합계","일반국도","지방도","특별광역시도","시군도","고속국도","기타","합계","일반국도","지방도","특별광역시도","시군도","고속국도","기타","합계","일반국도","지방도","특별광역시도","시군도","고속국도","기타"
"합계","사고건수","891,606","18,869","1,407","1,573","7,607","6,764","352","1,166","216,335","17,519","16,772","88,231","82,506","4,146","7,161","217,148","18,341","15,773","86,983","81,349","4,079","10,623","229,600","20,166","16,795","91,795","82,834","4,223","13,787","209,654","19,045","14,326","84,046","77,874","4,039","10,324"
"","사망자수","14,804","408","72","60","94","146","25","11","4,185","722","571","982","1,511","248","151","3,781","635","513","856","1,361","252","164","3,349","541","462","719","1,229","206","192","3,081","558","391","660","1,119","223","130"
"","부상자수","1,321,964","28,192","2,404","2,540","11,064","10,004","793","1,387","322,829","29,628","25,892","126,084","122,157","9,778","9,290","323,037","30,534","24,864","124,620","120,189","8,913","13,917","341,712","33,642","26,475","131,175","122,385","9,521","18,514","306,194","30,512","22,005","118,438","113,072","8,389","13,778"
"승용차","사고건수","589,670","13,148","920","1,052","5,446","4,719","221","790","143,041","10,801","10,508","60,112","54,817","2,612","4,191","145,238","11,488","9,850","60,191","54,651","2,461","6,597","151,365","12,617","10,656","61,680","55,241","2,606","8,565","136,878","11,933","9,056","55,493","51,668","2,547","6,181"
"","사망자수","7,091","225","42","31","49","87","10","6","2,048","369","286","529","714","113","37","1,837","352","237","463","639","100","46","1,571","282","208","355","576","86","64","1,410","263","185","312","512","94","44"
"","부상자수","901,936","20,104","1,611","1,729","8,160","7,155","489","960","220,358","18,798","16,713","89,165","84,266","5,648","5,768","222,226","19,411","15,984","89,370","83,099","5,373","8,989","232,408","21,530","17,399","91,561","84,049","5,895","11,974","206,840","19,643","14,454","81,127","77,639","5,348","8,629"
"승합차","사고건수","52,778","1,142","106","99","454","422","21","40","13,426","1,151","939","5,419","5,282","259","376","13,526","1,203","908","5,381","5,196","242","596","14,221","1,258","937","5,851","5,114","258","803","10,463","960","666","4,262","3,945","160","470"
"","사망자수","930","23","5","2","6","9","1","0","286","37","22","74","123","24","6","247","36","18","78","95","15","5","209","22","22","65","84","7","9","165","25","13","42","66","13","6"
"","부상자수","84,084","1,892","186","186","710","662","102","46","22,238","2,266","1,707","8,011","8,245","1,497","512","21,542","2,247","1,657","7,756","8,135","897","850","22,675","2,368","1,647","8,364","8,066","1,062","1,168","15,737","1,712","1,044","5,885","5,812","660","624"
"화물차","사고건수","112,984","2,230","253","252","630","855","93","147","27,341","3,401","3,041","8,118","10,824","937","1,020","27,562","3,536","2,927","7,991","10,700","995","1,413","28,788","3,622","2,919","8,710","10,731","1,007","1,799","27,063","3,554","2,598","8,291","10,236","1,005","1,379"
"","사망자수","3,443","91","20","16","10","28","14","3","961","205","142","159","316","106","33","868","151","146","134","284","110","43","802","143","138","121","260","96","44","721","148","113","108","232","96","24"
"","부상자수","168,783","3,375","450","424","912","1,225","180","184","41,157","5,758","4,712","11,425","15,906","2,036","1,320","41,636","6,122","4,673","11,109","15,952","2,011","1,769","42,960","6,125","4,601","12,062","15,845","1,983","2,344","39,655","5,724","3,982","11,528","14,732","1,826","1,863"
"특수차","사고건수","4,711","79","13","4","25","27","5","5","1,054","136","79","334","350","130","25","1,178","144","78","349","404","148","55","1,223","201","91","335","396","143","57","1,177","169","93","367","359","143","46"
"","사망자수","168","6","1","1","1","3","0","0","29","4","3","7","12","3","0","57","4","3","12","12","24","2","38","4","6","2","13","12","1","38","7","2","5","7","16","1"
"","부상자수","7,242","119","22","4","34","46","7","6","1,692","238","153","507","492","268","34","1,813","256","111","547","570","252","77","1,884","373","151","465","561","249","85","1,734","249","138","493","505","277","72"
"이륜차","사고건수","66,477","968","40","56","500","309","-","63","13,730","916","970","6,473","4,983","3","385","15,032","998","1,039","6,794","5,493","3","705","18,467","1,285","1,229","8,516","6,422","1","1,014","18,280","1,348","1,066","8,545","6,530","2","789"
"","사망자수","1,708","31","1","2","18","10","-","0","406","69","61","108","152","0","16","410","59","61","101","168","1","20","422","61","62","113","159","0","27","439","83","51","121","165","0","19"
"","부상자수","83,755","1,157","49","65","606","369","-","68","16,720","1,083","1,141","8,055","5,997","4","440","18,621","1,227","1,249","8,619","6,699","2","825","23,584","1,643","1,519","11,023","8,159","2","1,238","23,673","1,754","1,345","11,217","8,389","2","966"
"사륜오토바이(ATV)","사고건수","1,309","-","-","-","-","-","-","-","354","40","77","32","170","-","35","333","32","52","36","161","-","52","318","37","62","48","130","-","41","304","41","53","34","155","-","21"
"","사망자수","162","-","-","-","-","-","-","-","37","4","8","0","18","-","7","59","5","14","1","26","-","13","36","5","5","2","15","-","9","30","6","5","2","16","-","1"
"","부상자수","1,380","-","-","-","-","-","-","-","376","39","89","37","179","-","32","330","35","48","54","153","-","40","331","38","70","55","134","-","34","343","43","60","48","169","-","23"
"원동기장치자전거","사고건수","11,618","428","24","30","185","149","1","39","4,157","215","243","2,063","1,504","-","132","2,246","102","134","1,097","774","-","139","2,113","107","132","1,006","744","-","124","2,674","115","124","1,299","1,018","1","117"
"","사망자수","298","13","1","5","2","4","0","1","121","9","14","30","59","-","9","68","6","9","13","35","-","5","40","4","3","7","22","-","4","56","4","3","15","31","0","3"
"","부상자수","14,085","498","24","29","225","180","2","38","4,986","256","270","2,545","1,776","-","139","2,670","120","142","1,345","906","-","157","2,599","135","162","1,272","898","-","132","3,332","132","153","1,633","1,273","1","140"
"자전거","사고건수","22,017","287","11","15","139","95","-","27","5,659","224","281","2,694","1,882","2","576","4,771","224","223","2,246","1,550","-","528","5,633","264","261","2,604","1,714","-","790","5,667","234","235","2,628","1,766","-","804"
"","사망자수","387","8","1","1","5","1","-","0","126","12","10","46","45","0","13","91","11","7","29","35","-","9","79","5","4","23","35","-","12","83","7","8","28","30","-","10"
