기준일자,집계기준일,TCS차종구분명,TCS차종구분코드,TCS차종유형구분명,TCS차종유형구분코드,TCS노선번호,TCS본부코드,TCS지사코드,노선명,순번,구분,교통량,방향구분코드
20220508,20220508,1종,1,소형차,1,1,901,210300,경부선,1,서울 -> 신갈JC,89235,S
20220508,20220508,1종,1,소형차,1,1,901,210300,경부선,2,신갈JC -> 수원신갈,107504,S
20220508,20220508,1종,1,소형차,1,1,901,210300,경부선,3,수원신갈 -> 기흥,96615,S
20220508,20220508,1종,1,소형차,1,1,901,210300,경부선,4,기흥 -> 기흥동탄,84880,S
20220508,20220508,1종,1,소형차,1,1,901,210300,경부선,5,기흥동탄 -> 동탄JC,82469,S
20220508,20220508,1종,1,소형차,1,1,901,210300,경부선,6,동탄JC -> 오산,99648,S
20220508,20220508,1종,1,소형차,1,1,901,210300,경부선,7,오산 -> 안성JC,97460,S
20220508,20220508,1종,1,소형차,1,1,901,210300,경부선,8,안성JC -> 안성,90767,S
20220508,20220508,1종,1,소형차,1,1,903,410100,경부선,9,안성 -> 북천안,80366,S
20220508,20220508,1종,1,소형차,1,1,903,410100,경부선,10,북천안 -> 천안,82357,S
20220508,20220508,1종,1,소형차,1,1,903,410100,경부선,11,천안 -> 천안JC,71963,S
20220508,20220508,1종,1,소형차,1,1,903,410100,경부선,12,천안JC -> 목천,44576,S
20220508,20220508,1종,1,소형차,1,1,903,410100,경부선,13,목천 -> 옥산JC,43211,S
20220508,20220508,1종,1,소형차,1,1,903,410100,경부선,14,옥산JC -> 옥산,41077,S
20220508,20220508,1종,1,소형차,1,1,903,410100,경부선,15,옥산 -> 청주,40493,S
20220508,20220508,1종,1,소형차,1,1,903,410200,경부선,16,청주 -> 남이JC,37244,S
20220508,20220508,1종,1,소형차,1,1,903,410200,경부선,17,남이JC -> 청주JC,70182,S
20220508,20220508,1종,1,소형차,1,1,903,410200,경부선,18,청주JC -> 남청주,60309,S
20220508,20220508,1종,1,소형차,1,1,903,410200,경부선,19,남청주 -> 신탄진,59887,S
20220508,20220508,1종,1,소형차,1,1,903,410200,경부선,20,신탄진 -> 회덕JC,54600,S
20220508,20220508,1종,1,소형차,1,1,903,410200,경부선,21,회덕JC -> 대전,44094,S
20220508,20220508,1종,1,소형차,1,1,903,410200,경부선,22,대전 -> 비룡JC,39987,S
20220508,20220508,1종,1,소형차,1,1,903,410500,경부선,23,비룡JC -> 옥천,25439,S
20220508,20220508,1종,1,소형차,1,1,903,410500,경부선,24,옥천 -> 금강,17891,S
20220508,20220508,1종,1,소형차,1,1,903,410500,경부선,25,금강 -> 금강휴게소,17461,S
20220508,20220508,1종,1,소형차,1,1,903,410500,경부선,26,금강휴게소 -> 청성JC,16987,S
20220508,20220508,1종,1,소형차,1,1,903,410500,경부선,27,청성JC -> 영동,16987,S
20220508,20220508,1종,1,소형차,1,1,903,410500,경부선,28,영동 -> 황간,15872,S
20220508,20220508,1종,1,소형차,1,1,903,410500,경부선,29,황간 -> 추풍령,16786,S
20220508,20220508,1종,1,소형차,1,1,905,610100,경부선,30,추풍령 -> 김천,16979,S
20220508,20220508,1종,1,소형차,1,1,905,610100,경부선,31,김천 -> 동김천,19051,S
20220508,20220508,1종,1,소형차,1,1,905,610100,경부선,32,동김천 -> 김천JC,22308,S
20220508,20220508,1종,1,소형차,1,1,905,610100,경부선,33,구미 -> 남구미,41965,S
20220508,20220508,1종,1,소형차,1,1,905,610100,경부선,34,남구미 -> 왜관,46639,S
20220508,20220508,1종,1,소형차,1,1,905,610100,경부선,35,왜관 -> 칠곡물류,55552,S
20220508,20220508,1종,1,소형차,1,1,905,610200,경부선,36,금호JC -> 북대구,77367,S
20220508,20220508,1종,1,소형차,1,1,905,610200,경부선,37,북대구 -> 도동JC,69010,S
20220508,20220508,1종,1,소형차,1,1,905,610200,경부선,38,도동JC -> 동대구JC,55913,S
20220508,20220508,1종,1,소형차,1,1,905,610200,경부선,39,동대구JC -> 경산,35663,S
20220508,20220508,1종,1,소형차,1,1,905,610200,경부선,40,경산 -> 영천,25854,S
20220508,20220508,1종,1,소형차,1,1,905,610200,경부선,41,영천 -> 북안JC,21027,S
20220508,20220508,1종,1,소형차,1,1,905,610200,경부선,42,북안JC -> 건천,36699,S
20220508,20220508,1종,1,소형차,1,1,905,610200,경부선,43,건천 -> 경주,35906,S
20220508,20220508,1종,1,소형차,1,1,906,710100,경부선,44,경주 -> 활천,34642,S
20220508,20220508,1종,1,소형차,1,1,906,710100,경부선,45,활천 -> 언양JC,35708,S
20220508,20220508,1종,1,소형차,1,1,906,710100,경부선,46,언양JC -> 서울산,39965,S
20220508,20220508,1종,1,소형차,1,1,906,710500,경부선,47,서울산 -> 서울주JC,45986,S
20220508,20220508,1종,1,소형차,1,1,906,710500,경부선,48,서울주JC -> 통도사,49867,S
20220508,20220508,1종,1,소형차,1,1,906,710900,경부선,49,통도사 -> 통도사휴게소,48046,S
20220508,20220508,1종,1,소형차,1,1,906,710900,경부선,50,통도사휴게소 -> 양산,52535,S
20220508,20220508,1종,1,소형차,1,1,906,710500,경부선,51,양산 -> 양산JC,56503,S
20220508,20220508,1종,1,소형차,1,1,906,710500,경부선,52,양산JC -> 노포JC,37238,S
20220508,20220508,1종,1,소형차,1,1,906,710500,경부선,53,노포JC -> 노포,30327,S
20220508,20220508,1종,1,소형차,1,1,906,710500,경부선,54,노포 -> 노포JC2,26847,S
20220508,20220508,1종,1,소형차,1,1,906,710500,경부선,55,노포JC2 -> 부산,37744,S
20220508,20220508,2종,2,중형차,2,1,901,210300,경부선,1,서울 -> 신갈JC,773,S
20220508,20220508,2종,2,중형차,2,1,901,210300,경부선,2,신갈JC -> 수원신갈,1006,S
20220508,20220508,2종,2,중형차,2,1,901,210300,경부선,3,수원신갈 -> 기흥,645,S
