노 선 명,합계
경부선,"90,042"
남해선,"40,271"
광주대구선,"19,004"
서해안선,"45,520"
울산선,"46,605"
평택화성선,"87,117"
수원광명선,"67,757"
익산포항선,"25,456"
호남선,"43,234"
논산천안선,"52,106"
순천완주선,"23,145"
구리포천선,"47,457"
당진영덕선,"23,245"
옥산오창선,"8,802"
중부선,"39,801"
제2중부선,"62,901"
평택제천선,"41,358"
중부내륙선,"42,105"
영동선,"68,160"
광주원주선,"42,284"
중앙선,"29,727"
대구부산선,"40,122"
서울양양선,"28,086"
강일춘천선,"61,618"
동해선,"18,585"
부산울산선,"43,868"
수도권제1순환선(남부),"178,516"
수도권제1순환선(북부),"148,727"
남해제1지선,"46,661"
남 해 제 2 지 선,"75,185"
부 산 항 신 항 선,"22,011"
제 2 경 인 선,"118,009"
제2경인선(인천대교),"42,520"
제2경인선(안양성남),"73,750"
경 인 선,"166,077"
인 천 국 제 공 항 선,"46,151"
서 천 공 주 선,"19,140"
평택시흥선,"65,300"
오산화성선,"50,123"
용인서울선,"98,278"
호남선지선,"51,613"
고창담양선,"16,696"
대전남부순환선,"34,420"
상주영천선,"29,038"
수도권제2순환선(봉담),"67,233"
수도권제2순환선(인천),"62,022"
중부내륙지선,"57,247"
중앙선지선,"65,270"
부산외곽순환선,"46,460"
,
