노 선 명,계
경부선,"94,274"
남해선,"42,724"
광주대구선,"21,390"
함양울산선,"9,491"
서해안선,"48,770"
울산선,"46,175"
평택화성선,"94,760"
수원광명선,"70,800"
서울문산선,"43,337"
익산포항선,"28,326"
호남선,"46,714"
논산천안선,"54,733"
순천 완 주선,"25,972"
구리 포 천선,"51,865"
당진 영 덕선,"25,653"
옥산 오 창선,"10,076"
중부선,"43,379"
제2 중 부선,"67,018"
평택 제 천선,"44,681"
중부 내 륙선,"45,064"
영동선,"75,360"
광주 원 주선,"43,363"
중앙선,"32,778"
대구 부 산선,"47,496"
서울 양 양 선,"32,031"
강일 춘 천 선,"65,765"
동해 선,"20,590"
부산 울 산 선,"48,650"
수 도 권 제 1 순 환 선(남부),"184,330"
수 도 권 제 1 순 환 선(북부),"152,129"
남해 제 1 지 선,"51,098"
남해 제 2 지 선,"75,799"
부산 항 신 항 선,"24,870"
제2 경 인 선,"117,872"
제2경인선(인천대교),"47,332"
제2경인선(안양성남),"74,406"
경인 선,"180,354"
인 천 국 제 공 항 선,"48,034"
서천 공 주 선,"20,667"
평택 시 흥 선,"67,437"
오산 화 성 선,"50,650"
용인 서 울 선,"99,694"
호남 선 지 선,"55,436"
고창 담 양 선,"17,812"
대 전 남 부 순 환 선,"36,581"
상주 영 천 선,"28,580"
수 도 권 제 2 순 환 선(봉담),"74,368"
수 도 권 제 2 순 환 선(인천),"61,990"
수 도 권 제 2 순 환 선,"24,510"
중 부 내 륙 지 선,"61,135"
중 앙 선 지 선,"66,883"
부 산 외 곽 순 환 선,"48,889"
,
