도로이름,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,경도,위도,상태
경부고속도로,2.02E+15,2018년 1월 1일 17시,월요일,충청남도 천안시 동남구 수신면,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,남,55세,중상,127.2864363,36.72405569,인근좌표
경부고속도로,2.02E+15,2018년 1월 1일 20시,월요일,충청북도 청주시 서원구 남이면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,60세,경상,승용,남,48세,경상,127.4223057,36.56619491,인근좌표
경부고속도로,2.02E+15,2018년 1월 10일 08시,수요일,대구광역시 동구 부동,사망사고,1,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,화물,남,55세,사망,화물,남,43세,중상,128.6898521,35.89133611,인근좌표
경부고속도로,2.02E+15,2018년 1월 11일 11시,목요일,경기도 성남시 분당구 궁내동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,68세,상해없음,승용,여,43세,경상,127.091827,37.37017734,인근좌표
경부고속도로,2.02E+15,2018년 1월 12일 12시,금요일,충청북도 청주시 서원구 남이면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,45세,상해없음,화물,남,71세,경상,127.4223057,36.56619491,인근좌표
경부고속도로,2.02E+15,2018년 1월 12일 14시,금요일,경기도 오산시 원동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,27세,상해없음,승용,여,55세,중상,127.0840611,37.14008768,인근좌표
경부고속도로,2.02E+15,2018년 1월 19일 22시,금요일,충청북도 청주시 흥덕구 옥산면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,화물,남,56세,기타불명,건설기계,남,52세,경상,127.3594268,36.68092518,인근좌표
경부고속도로,2.02E+15,2018년 1월 25일 09시,목요일,경상북도 경주시 건천읍,중상사고,0,1,6,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,48세,상해없음,승합,남,65세,상해없음,129.0879358,35.83788534,인근좌표
경부고속도로,2.02E+15,2018년 1월 26일 11시,금요일,경기도 안성시 공도읍,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,화물,남,34세,상해없음,승용,남,50세,경상,127.1832118,37.00071006,인근좌표
경부고속도로,2.02E+15,2018년 1월 31일 16시,수요일,경상북도 칠곡군 지천면,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,29세,상해없음,승용,남,61세,사망,128.4827257,35.96655654,인근좌표
