No,brand,convenience,direction,maintenanceYn,routeCode,routeName,serviceAreaCode,serviceAreaCode2,serviceAreaName,svarAddr,telNo,truckSaYn,경도,위도,상태
1,탐앤탐스 외 5,수유실|수면실||||,부산,X,10,경부선,A00001,1,서울만남(부산)휴게소,서울 서초구 원지동 10-16,02-578-3372,X,127.0421452,37.46007481,정좌표
2,탐앤탐스 외 3,,부산,X,10,경부선,A00003,5,기흥(부산)휴게소,경기 용인시 기흥구 공세로 173 기흥휴게소,031-286-5001,X,127.1042455,37.23532864,정좌표
3,드롭탑 외 5,수유실|샤워실|세탁실|수면실||,부산,X,10,경부선,A00005,9,안성(부산)휴게소,경기 안성시 원곡면 경부고속도로 365,031-655-0531,X,127.1447155,37.01358163,정좌표
4,탐앤탐스 외 2,수유실|내고장특산물||||,부산,O,10,경부선,A00030,13,망향(부산)휴게소,충남 천안시 성거읍 요방리 121,041-557-4000,X,127.1808086,36.85531414,정좌표
5,할리스 외 2,수유실|수면실|샤워실|수면실||,부산,O,10,경부선,A00032,21,옥산(부산)휴게소,충북 청원군 옥산면 오산리 589-15,043-260-1053,O,127.3696637,36.65802427,정좌표
6,탐앤탐스 외 2,수유실|||수면실||,부산,X,10,경부선,A00034,17,천안호두(부산)휴게소,충남 천안시 수신면 신풍리 447-3,041-552-4560,X,127.2642059,36.73021186,정좌표
7,롯데리아 외 3,,부산,X,10,경부선,A00036,26,죽암(부산)휴게소,충북 청주시 서원구 현도면 경부고속도로 289,043-269-0850,X,127.4291918,36.48696607,정좌표
8,롯데리아 외 2,수유실|||||,부산,O,10,경부선,A00037,34,금강(부산)휴게소,충북 옥천군 동이면 조령리 576,043-731-2233,X,127.6720978,36.27894259,정좌표
9,할리스 외 2,수유실|내고장특산물||수면실||,부산,X,10,경부선,A00049,36,황간(부산)휴게소,충북 영동군 황간면 회포리 103-2,043-742-5805,X,127.8538437,36.25252061,정좌표
10,할리스 외 2,수유실|수면실|샤워실|세탁실||,부산,O,10,경부선,A00068,40,추풍령(부산)휴게소,경북 김천시 봉산면 광천리 691,054-430-2000,O,128.0005028,36.20040745,정좌표
11,엔제리너스,수유실|수면실|샤워실|세탁실|수면실|,부산,X,10,경부선,A00071,50,평사(부산)휴게소,경북 경산시 진량읍 경부고속도로 105,053-852-8651,O,128.8688868,35.88610423,정좌표
12,탐앤탐스 외 1,,부산,X,10,경부선,A00072,44,칠곡(부산)휴게소,경북 칠곡군 왜관읍 아곡리 302,054-975-2277,O,128.428065,36.02013298,정좌표
13,엔제리너스 외 1,수유실||수면실|||,부산,X,10,경부선,A00078,54,건천(부산)휴게소,경북 경주시 건천읍 방내리 14,054-751-6890,X,129.1094878,35.83028551,정좌표
14,탐앤탐스,수유실||수면실||수면실|,부산,X,10,경부선,A00088,59,언양(부산)휴게소,울산광역시 울주군 언양읍 태기리 684-1,055-383-6145,X,129.138083,35.59590824,정좌표
15,할리스 외 3,,부산,O,10,경부선,A00103,30,옥천(부산)휴게소,충북 옥천군 옥천읍 매화리 251-4,043-731-8521,O,127.595173,36.29676792,정좌표
16,드롭탑 외 1,,부산,X,10,경부선,A00107,55,경주(부산)휴게소,경북 경주시 내남면 월산리 산 43-1,054-748-3195,O,129.1930108,35.72420861,정좌표
17,파스쿠찌,,부산,X,10,경부선,A00184,342,김천(부산)휴게소,경북 김천시 농소면 신촌리 730-2,054-435-0211,O,128.1640488,36.12976986,정좌표
