,노선번호,구간,이정,연장,2017,2018,2019,2020,계,1~2종,3~12종,17~20년도_합계,startpoint,endpoint,startpoint_coor,endpoint_coor,rest_count,accident_count
0,경부선,구서IC~노포IC,0~5.1,5.1,72947.0,77857.0,76055.0,71512.0,"73,319",52029,21290,298371.0,구서IC,노포IC,"(35.2506518734081, 129.097583873429)","(35.2836618189915, 129.112115454388)",0,1
1,,노포IC~노포JCT,5.1~5.6,0.5,87115.0,77553.0,72053.0,66817.0,"69,907",47284,7764,303538.0,노포IC,노포JCT,"(35.2836618189915, 129.112115454388)","(35.2878485817516, 129.100627098174)",0,6
2,,노포JCT~양산JCT,5.6~12.9,7.3,55308.87963,80723.0,88769.0,86906.0,"91,389",60342,10762,311706.8796,노포JCT,양산JCT,"(35.2878485817516, 129.100627098174)","(35.3307763601126, 129.034606984977)",1,6
3,,양산JCT~양산IC,12.9~18,5.1,92536.0,83196.0,93815.0,89018.0,"98,248",63294,12226,358565.0,양산JCT,양산IC,"(35.3307763601126, 129.034606984977)","(35.3788903186036, 129.05185254918)",0,7
4,,양산IC~통도사하이패스IC,18~30.8,12.8,79675.0,74491.0,75998.0,71192.0,"79,848",50817,9366,301356.0,양산IC,통도사하이패스IC,"(35.3788903186036, 129.05185254918)","(35.4886250161432, 129.089288401859)",0,8
5,,통도사하이패스IC~통도사IC,30.8~32.2,1.4,74121.0,64371.0,70004.0,68352.0,"76,981",48162,9220,276848.0,통도사하이패스IC,통도사IC,"(35.4886250161432, 129.089288401859)","(35.50001171943, 129.095714526298)",0,0
6,,통도사IC~서울주JCT,32.2~33.7,1.5,55308.87963,55308.87963,55308.87963,55308.87963,"69,811",43494,8462,221235.5185,통도사IC,서울주JCT,"(35.50001171943, 129.095714526298)","(35.5156774497857, 129.105752358742)",0,0
7,,서울주JCT~서울산IC,33.7~38.6,4.9,72939.0,63420.0,69585.0,65305.0,"60,870",38159,7565,271249.0,서울주JCT,서울산IC,"(35.5156774497857, 129.105752358742)","(35.5540588980104, 129.124198126292)",0,0
8,,서울산IC~언양JCT,38.6~40.1,1.5,66530.0,58349.0,63165.0,58585.0,"53,334",33640,7014,246629.0,서울산IC,언양JCT,"(35.5540588980104, 129.124198126292)","(35.5665720346864, 129.129989748955)",0,0
9,,언양JCT~활천IC,40.1~57.3,17.2,46182.0,48100.0,49435.0,49423.0,"49,514",30117,5907,193140.0,언양JCT,활천IC,"(35.5665720346864, 129.129989748955)","(35.7118019293137, 129.190999625674)",2,0
10,,활천IC~경주IC,57.3~68.2,10.9,45003.0,41744.0,48234.0,45602.0,"47,116",27388,5072,180583.0,활천IC,경주IC,"(35.7118019293137, 129.190999625674)","(35.8071150738824, 129.18511158982)",1,6
11,,경주IC~건천IC,68.2~78.7,10.5,52214.0,46171.0,51423.0,50636.0,"49,212",29570,5725,200444.0,경주IC,건천IC,"(35.8071150738824, 129.18511158982)","(35.8437967001662, 129.085264565435)",2,9
12,,건천IC~영천JCT,78.7~90.8,12.1,52086.0,49441.0,53245.0,50749.0,"53,377",32566,5962,205521.0,건천IC,영천JCT,"(35.8437967001662, 129.085264565435)","(35.9189266250469, 129.005577558903)",0,0
