"노선
번호","지 점
번 호",구    간,2017,2018,2019,2020
경부선,101,구서IC ~ 노포IC,"72,947","77,857","76,055","71,512"
,00101-1,노포IC ~ 노포JCT,"87,115","77,553","72,053","66,817"
,00101-2,노포JCT ~ 양산JCT,-     ,"80,723","88,769","86,906"
,102,양산JCT ~ 양산IC,"92,536","83,196","93,815","89,018"
,103,양산IC ~ 통도사하이패스IC,"79,675","74,491","75,998","71,192"
,00103-1,통도사하이패스IC ~ 통도사IC,"74,121","64,371","70,004","68,352"
,104,서울주JCT ~ 서울산IC,"72,939","63,420","69,585","65,305"
,105,서울산IC ~ 언양JCT,"66,530","58,349","63,165","58,585"
,106,언양JCT ~ 활천IC,"46,182","48,100","49,435","49,423"
,00106-1,활천IC ~ 경주IC,"45,003","41,744","48,234","45,602"
,107,경주IC ~ 건천IC,"52,214","46,171","51,423","50,636"
,108,건천IC ~ 영천JCT,"52,086","49,441","53,245","50,749"
,00108-1,영천JCT ~ 영천IC,"32,401","27,327","33,519","30,651"
,109,영천IC ~ 경산IC,"48,210","41,812","50,548","47,778"
,110,경산IC ~ 동대구JCT,"79,803","69,925","75,133","74,842"
,00110-1,동대구JCT ~ 도동JCT,"120,758","105,684","112,831","109,530"
,111,도동JCT ~ 북대구IC,"139,002","128,812","135,135","132,091"
,112,북대구IC ~ 금호JCT,"144,628","138,967","149,595","144,977"
,113,금호JCT ~ 칠곡물류IC,"118,111","103,053","107,877","104,824"
,00113-1,칠곡물류IC ~ 왜관IC,"119,373","105,977","113,822","107,716"
,114,왜관IC ~ 남구미IC,"103,424","85,675","92,509","87,956"
,115,남구미IC ~ 구미IC,"81,738","77,038","84,450","79,940"
,116,구미IC ~ 김천JCT,"76,157","69,016","78,833","71,994"
,117,김천JCT ~ 동김천IC,"43,796","37,115","39,954","40,918"
,00117-1,동김천IC ~ 김천IC,"36,514","35,196","37,798","36,451"
,118,김천IC ~ 추풍령IC,"40,826","40,321","37,699","39,096"
,119,추풍령IC ~ 황간IC,"36,393","38,876","35,111","33,922"
,120,황간IC ~ 영동IC,"37,606","36,605","34,393","34,752"
,121,영동IC ~ 금강IC,"38,770","37,254","36,495","38,107"
,122,금강IC ~ 옥천IC,"40,140","39,257","36,952","39,663"
,123,옥천IC ~ 비룡JCT,"53,316","46,028","51,902","50,585"
,124,비룡JCT ~ 대전IC,"87,611","80,872","77,850","74,567"
,125,대전IC ~ 회덕JCT,"95,022","94,485","88,861","87,917"
,126,회덕JCT ~ 신탄진IC,"105,589","106,684","106,330","102,900"
,127,신탄진IC ~ 남청주IC,"124,156","123,389","115,974","110,006"
,128,남청주IC ~ 청주JCT,"127,856","115,970","113,845","107,512"
,00128-1,청주JCT ~ 남이JCT,"150,848","143,492","123,234","125,450"
,129,남이JCT ~ 청주IC,"80,226","78,549","78,210","80,840"
,130,청주IC ~ 옥산하이패스IC,"87,298","87,197","96,005","98,338"
,00130-1,옥산하이패스IC ~ 옥산JCT,"89,844","90,453","91,504","88,614"
,00130-2,옥산JCT ~ 목천IC,-     ,"84,964","99,086","91,849"
,131,목천IC ~ 천안JCT,"82,727","84,345","89,929","85,361"
,00131-1,천안JCT ~ 천안IC,"150,957","151,843","151,992","148,557"
,132,천안IC ~ 북천안IC,"178,408","171,997","176,166","180,070"
,00132-2,북천안IC ~ 안성IC,"164,976","168,208","164,293","157,440"
,00132-1,안성IC ~ 안성JCT,"187,323","161,796","183,838","188,440"
,133,안성JCT ~ 오산IC,"182,964","164,381","174,800","166,623"
,134,오산IC ~ 동탄JCT,"178,362","190,876","167,672","169,972"
,00134-1,동탄JCT ~ 기흥IC,"162,419","161,236","170,884","159,599"
,135,기흥IC ~ 수원신갈IC,"213,591","220,848","210,017","211,996"
,136,수원신갈IC ~ 신갈JCT,"222,342","200,189","202,530","197,800"
,137,신갈JCT ~ 판교JCT,"222,127","204,008","205,277","201,226"
,00137-1,판교JCT ~ 금토JCT,-     ,"166,060","159,446","151,910"
,139,금토JCT ~ 양재IC,"180,449","183,011","191,996","181,871"
남해선,01001-1,서영암IC ~ 서호학산IC,"12,020","12,135","13,010","12,838"
,01001-2,서호학산IC ~ 강진무위사IC,"9,735","10,937","10,506","10,316"
,01001-3,강진무위사IC ~ 장흥IC,"8,568","9,139","8,864","8,627"
,01001-4,장흥IC ~ 보성IC,"9,919","9,424","10,167","9,534"
,01001-5,보성IC ~ 벌교IC,"15,624","16,192","17,231","16,527"
,01001-6,벌교IC ~ 고흥IC,"13,470","14,376","14,155","13,386"
